image,short_prompt
110.png,"the kid Caillou watching aquarium"
111.png,"Caillou's parents having a romantic dinner"
112.png,"A bottle of vine"
113.png,"slices of bread"
114.png,"coffee machine"
115.png,"the kid named caillou sitting on a chair"
116.png,"candles"
117.png,"bathroom door"
118.png,"painting of buildings"
119.png,"A plant"
120.png,"Caillou eating a cup of ice cream"
121.png,"worm"
122.png,"worm and magnifier"
123.png,"a butterfly"
124.png,"The kid named Caillou holding his cat"
125.png,"sweep"
126.png,"a kid with glasses"
127.png,"electric switch"
128.png,"kid playing with snow"
129.png,"Caillou making snowball"
130.png,"a snowman"
131.png,"a tin soldier"
132.png,"christmas decoration"
133.png,"a man holging a camera"
134.png,"a monkey"
135.png,"children riding dinasours"
136.png,"a kid making scouting"
137.png,"a view of nature containing mountains and river"
138.png,"a fire"
139.png,"the kid Caillou showing photograph he taked to his mother"
140.png,"sister playing with a toy car"
141.png,"television"
142.png,"plane"
143.png,"a plane scene containing flight attandent and Caillou family"
144.png,"caillou fasten seatbelt"
145.png,"two flight attandents on the plane"
146.png,"Caillou the kid riding a bike"
147.png,"the pictur of grandma on the right and granspa on the left"
148.png,"a slice of cake"
149.png,"spaghetti"
150.png,"a meal"
151.png,"a sandvich"
152.png,"a pool picture cntaining kids in the pool and family nearside of the pool"
153.png,"a picture of Caillou in the middle learning swimming from his father on the right and his mother on the left"
154.png,"a fishing scene containing a older man who is grandpa and a kid who is named Caillou"
155.png,"a gentlemnt with suit walking"
156.png,"a chef slicing an onion"
157.png,"the kid Caillou holding three books"
158.png,"a bus"
159.png,"A group of diverse children, likely aged 4-8, are gathered around a campfire at night. "
160.png,"an happy cat on the tree"
161.png,"a pregnant woman with red dress"
162.png,"a young hippi man"
163.png,"a bush"
164.png,"a police raising one hand"
165.png,"a kid wearing red bag"
166.png,"The kid Caillou brushing teeth"
167.png,"four kids swimming in the sea two of them are wearing snorkels"
168.png,"four kids playing beach volleybol"
169.png,"Teacher grading kids exam paper"
170.png,"African kid holding candles"
171.png,"Dinasour skeleton"
172.png,"School bus"
173.png,"Pencils on the desk"
174.png,"A football ball"
175.png,"The kid named Caillou wearing a firefighter helmet"
176.png,"A girl with a messy hair"
177.png,"A girl sitting on a chair in a hairdresser"
178.png,"Two kids(Caillou and his sister with a goat"
179.png,"A white rabbit eating grass"
180.png,"The kid named caillou is nervous and watching outside from a window"
181.png,"Caillou the kis holding his cat"
182.png,"Caillou the kid holding a baby"
183.png,"Four green trash bags"
184.png,"A colorful house"
185.png,"A woman lying on a bad who is sick"
186.png,"A bunch of fruits"
187.png,"A cactus"
188.png,"A man who is Caillou's father looking nervous and doing job on his computer"
189.png,"A few papers"
190.png,"The kid named Caillou is giving advice to his sister. Caillou is on the right and his sister is on the left."
191.png,"A doctor an the left and a nurse on the right"
192.png,"A cup of hot soup"
193.png,"Father looking like hero holding a phone"
194.png,"The kid holding a flahlight in a dark scene"
195.png,"The nervous kid holding a flahlight in a dark scene with two portraits on the back"
196.png,"little Red Riding Hood"
197.png,"A house from a village"
198.png,"A diverse group of kid playing in a kindergarten"
199.png,"a diverse group of kids with different costumes"
200.png, "A police and a police car"
201.png,"A park with kinder play area"
202.png,"Stars in the sky"
203.png,"a family of three standing on a porch at night. All are in casual stance"
204.png,"A young girl wears a red, traditional Chinese-style dress with decorative accents."
205.png,"A young kid named Caillou eating food using chop sticks"
206.png,"The boy Caillou brushing his teeth"
207.png,"Teacher teaching something in school"
208.png,"A diverse group of kids sitting next to each other"
209.png,"A red birthday cake"
210.png,"A picture of Caillou who is conscious"
211.png,"A photograph of the boy Caillou who is upset"
212.png,"a white closet filled with various colorful clothing items and hats, and a rack displaying additional clothes in a room Caillou boy stands with his father"
213.png,"A grandma picture who is upset and running"
214.png,"A boy is dissappointed"
215.png,"Two dresses one is red with roses. Other one is yollow and blue"
216.png,"An old woman with glasses"
217.png,"A woman teacher teach leacture at school"
218.png,"Grandma console the boy Caillou"
219.png,"A picture of family who eats vegetables. The kid doesn't want to eat."
220.png,"Young girl enjoy the food onn the table"
221.png,"Two bicycles, an umbrella and a table"
222.png,"A prison picture of the boy named Caillou"
223.png,"Two people wearing suits"
224.png,"An escape scene that contains two spys. They are wearing glasses and escaping from a tunnel"
225.png,"A western scene includes a horse and a scheriff house"
226.png,"2 scheriffs talking. One is sitting on a chair. "
227.png,"The kid named Caillou riding toy horse"
228.png,"A theift who holds the money he stoled "
229.png,"A person with a gun"
230.png,"Sheriff chasing the guilty. Both are riding horses"
231.png,"A woman with a lunch box and a children"
232.png,"A clock"
233.png,"A kid brushing teeth in a bathroom"
234.png,"Lunchtime of the kid Caillou who has milk and toast"
235.png,"The kid Caillou drinking milk and sitting on a chair"
236.png,"Mother saying goodbye to the child (Caillou) in a kitchen"
237.png,"A woman teacher taking notes"
238.png,"The Caillou family on a pool day They are wearing swimwear"
239.png,"The kid named Caillou on a waterslide"
240.png,"The kid named Caillou learning swimming from his father at the pool"
241.png,"Shopping scene in a supermarket with a woman and a kid"
242.png,"Kid wearing ha is nervous at a groccery store"
243.png,"A happy kid haing a chocolate bar on his hand and a woman smiling"
244.png,"A blue car is stopping in the red light"
245.png,"A kid who wears a hat crying in a car"
246.png,"A boy and a woman are in a brightly colored cartoon hallway. The boy, light-skinned and appearing to be a pre-teen, is positioned slightly left of center, wearing a green jacket, blue pants, and a baseball cap. He has a determined expression and is standing with his hands in his pockets. The woman, light-skinned and appearing to be an adult, is standing slightly right of center, wearing a red top and blue pants. She is focused on hanging a red garment on a yellow coat rack. "
247.png,"A cartoon scene depicts a young boy, likely pre-teen, with a light complexion and short, dark hair, wearing a green jacket with a zipper and a blue baseball cap with a yellow visor.  He has a sad expression, and his eyes are cast downward. "
248.png,"Two kids running with a scary face in a bedroom with toys on the carpet and a cat"
250.png,"The kid is thinking something"
251.png,"The boy has a nervous and scared face"
253.png,"A woman with a confusing face wearing headphones"
254.png,"The kid named Caillou crying on the floor"
255.png,"A woman and his child cleaning the room with a vacuum cleaner"
256.png,"An adult man wh is father of caillou standing and talking"
257.png,"A woman chef is holding a knefe and looking confident"
258.png,"Sunny side up eggs"
259.png,"A man chef is making the meal. A whole family watching and waiting the dinner"
260.png,"A lemonade and 2 glasses"
261.png,"A specal dinner together with 2 souces"
262.png,"The kid named Caillou looking at grilled cheese. He is not happy"
263.png,"The kid named Caillou eating his meal and looking happy"
264.png,"The kid named Caillou eating his meal and looking happy. He is holding a fork"
265.png,"A shy boy and woman teacher standing together"
266.png,"A shy boy sitting and holding his knees"
267.png,"2 kids are playing together"
268.png,"3 kids playing football"
269.png,"A kid sitting in a sandpool alone"
270.png,"The kid named Caillou is sitting and crying"
271.png,"2 kids are in emotional cooperation"
272.png,"The father on the front and the kid (Caillou) at the back are sitting in a car."
273.png,"A kid holding a drawing and looking anxious"
274.png,"A diverse group of happy kids "
275.png,"A hamster in a mini ball"
276.png,"A laundry room with washing machines A mother holding a basket and his daughter inside the room "
277.png,"A kitchen with chairs table some shelfs and a cat eating its food."
278.png,"A young boy named Caillou is in a cartoon kitchen, wearing a yellow polo shirt and blue shorts. A cat is walking towards the boy Caillou"
279.png,"A family standing in a kitchen. Caillous kid has a hamster on his head. everyone is happy"
280.png,"The kid learning magic from his father"
281.png,"The kid is a magician"
282.png,"A group of kids eating their meal"
283.png,"The kid Caillou wearing hat standing with his grandma"
284.png,"Cooking with a pan"
285.png,"A family having dinner. Mom and dad are happy but the kid Caillou is upset"
286.png,"The kid Caillou with tooth fairy"
287.png,"hopsotch game drawing"
288.png,"A toy plane"
289.png,"A blonde couple having romantic dinner"
290.png,"A fish in aquarium is swimming. A kid show the fish with his finger"
291.png,"Candles"
292.png,"Kid looking a restaurant menu"
293.png,"A waiter taking the order"
294.png,"A baseball game"
295.png,"A man ski in a mountain"
296.png,"Family skiing holiday"
297.png,"A man skiing with a dog. People are watching"
298.png,"A kid walking in snow"
299.png,"Ski time with mom and daughter"
300.png,"The kid Caillou in a bathroom"
301.png,"The kid caillou with red pijamas"
302.png,"The kid playing under the rain"
303.png,"A baby buggy"
304.png,"The kid caillou pouring honey with his cat"
305.png,"A small girl laughing"
306.png,"Little girl swings on the swing in her blue dress"
307.png,"Post letters"
308.png,"Woman with red sweat and a man with a hat"
309.png,"A bride holding flowers"
310.png,"A teenage man skateboarding"
311.png,"A young girl gifted with a golden bracelet"
312.png,"A cat holding its nose"
